SerialNo,PurchaseId,ProductId,Quantity,Bonus,Price,DiscRatio1,DiscRatio2,STValue,STRatio,TTLValue,TTLSalestax,IsDeleted
1,1,02006,37.000,0.000,196.0000,0.00,0.00,0.00,0.00,7252.00,0.00,False
64,2,02211,64.000,0.000,40.0000,0.00,0.00,0.00,0.00,2560.00,0.00,False
2,2,02334,60.000,0.000,80.0000,0.00,0.00,0.00,0.00,4800.00,0.00,False
5,2,02421,20.000,0.000,40.0000,0.00,0.00,0.00,0.00,800.00,0.00,False
6,2,02423,20.000,0.000,40.0000,0.00,0.00,0.00,0.00,800.00,0.00,False
4,2,02425,24.000,0.000,40.0000,0.00,0.00,0.00,0.00,960.00,0.00,False
3,2,02427,36.000,0.000,40.0000,0.00,0.00,0.00,0.00,1440.00,0.00,False
7,2,02428,10.000,0.000,90.0000,0.00,0.00,0.00,0.00,900.00,0.00,False
8,2,02429,10.000,0.000,120.0000,0.00,0.00,0.00,0.00,1200.00,0.00,False
9,2,02430,36.000,0.000,40.0000,0.00,0.00,0.00,0.00,1440.00,0.00,False
10,3,02265,15.000,0.000,40.0000,0.00,0.00,0.00,0.00,600.00,0.00,False
11,4,02097,12.000,0.000,155.0000,0.00,0.00,0.00,0.00,1860.00,0.00,False
12,5,01003,500.000,0.000,15.0000,0.00,0.00,0.00,0.00,7500.00,0.00,False
13,6,01044,25.000,0.000,132.0000,0.00,0.00,0.00,0.00,3300.00,0.00,False
15,7,01019,3.000,0.000,5000.0000,0.00,0.00,0.00,0.00,15000.00,0.00,False
16,7,01065,600.000,0.000,265.0000,0.00,0.00,0.00,0.00,159000.00,0.00,False
14,7,01075,2.000,0.000,5500.0000,0.00,0.00,0.00,0.00,11000.00,0.00,False
17,8,01003,6250.000,0.000,17.4000,0.00,0.00,0.00,0.00,108750.00,0.00,False
18,9,01022,1.000,0.000,4000.0000,0.00,0.00,0.00,0.00,4000.00,0.00,False
20,10,01019,1.000,0.000,5000.0000,0.00,0.00,0.00,0.00,5000.00,0.00,False
19,10,01075,1.500,0.000,6000.0000,0.00,0.00,0.00,0.00,9000.00,0.00,False
22,11,02025,12.000,0.000,40.0000,0.00,0.00,0.00,0.00,480.00,0.00,False
30,11,02047,15.000,0.000,40.0000,0.00,0.00,0.00,0.00,600.00,0.00,False
28,11,02048,15.000,0.000,40.0000,0.00,0.00,0.00,0.00,600.00,0.00,False
21,11,02124,12.000,0.000,40.0000,0.00,0.00,0.00,0.00,480.00,0.00,False
25,11,02146,26.000,0.000,90.0000,0.00,0.00,0.00,0.00,2340.00,0.00,False
27,11,02300,15.000,0.000,40.0000,0.00,0.00,0.00,0.00,600.00,0.00,False
24,11,02323,12.000,0.000,40.0000,0.00,0.00,0.00,0.00,480.00,0.00,False
23,11,02330,80.000,0.000,80.0000,0.00,0.00,0.00,0.00,6400.00,0.00,False
29,11,02431,15.000,0.000,40.0000,0.00,0.00,0.00,0.00,600.00,0.00,False
31,12,02268,32.000,0.000,90.0000,0.00,0.00,0.00,0.00,2880.00,0.00,False
32,13,01027,25.000,0.000,400.0000,0.00,0.00,0.00,0.00,10000.00,0.00,False
186,13,01189,30.000,0.000,586.6666,0.00,0.00,0.00,0.00,17600.00,0.00,False
33,14,01043,2000.000,0.000,13.7500,0.00,0.00,0.00,0.00,27500.00,0.00,False
34,15,01004,25.000,0.000,400.0000,0.00,0.00,0.00,0.00,10000.00,0.00,False
36,15,01021,30.000,0.000,400.0000,0.00,0.00,0.00,0.00,12000.00,0.00,False
35,15,01028,25.000,0.000,1650.0000,0.00,0.00,0.00,0.00,41250.00,0.00,False
37,16,02014,544.000,0.000,390.0000,0.00,0.00,0.00,0.00,212160.00,0.00,False
40,17,02144,475.000,0.000,20.0000,0.00,0.00,0.00,0.00,9500.00,0.00,False
39,17,02364,64.000,0.000,40.0000,0.00,0.00,0.00,0.00,2560.00,0.00,False
38,17,02365,64.000,0.000,40.0000,0.00,0.00,0.00,0.00,2560.00,0.00,False
41,17,02432,950.000,0.000,20.0000,0.00,0.00,0.00,0.00,19000.00,0.00,False
43,18,01019,2.000,0.000,5000.0000,0.00,0.00,0.00,0.00,10000.00,0.00,False
42,18,01042,50.000,0.000,167.0000,0.00,0.00,0.00,0.00,8350.00,0.00,False
46,18,01070,2.000,0.000,4500.0000,0.00,0.00,0.00,0.00,9000.00,0.00,False
44,18,01075,2.000,0.000,6000.0000,0.00,0.00,0.00,0.00,12000.00,0.00,False
45,18,01193,2.000,0.000,700.0000,0.00,0.00,0.00,0.00,1400.00,0.00,False
48,19,02147,150.000,0.000,40.0000,0.00,0.00,0.00,0.00,6000.00,0.00,False
47,19,02427,50.000,0.000,40.0000,0.00,0.00,0.00,0.00,2000.00,0.00,False
52,20,01010,25.000,0.000,2800.0000,0.00,0.00,0.00,0.00,70000.00,0.00,False
51,20,01045,550.000,0.000,380.0000,0.00,0.00,0.00,0.00,209000.00,0.00,False
49,20,01073,25.000,0.000,520.0000,0.00,0.00,0.00,0.00,13000.00,0.00,False
